DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,8695d661-6fbe-4933-8f6a-55b640a70910,Match Officials,7.1,,1a76a911-a20f-4044-8256-f039c9ce4af0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,f80eb3f7-901f-4fbc-9c33-321a5c3ca00d,Discipline of Match Officials,7.2,,1a76a911-a20f-4044-8256-f039c9ce4af0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,1d735cef-14f2-4294-9d23-8feba18ab1fb,Appointment of Officials,7.3,,1a76a911-a20f-4044-8256-f039c9ce4af0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,944ffc07-7287-4b47-8a1b-a92a0872b3f7,Rifle Ready Conditions,8.1,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,e3f9a403-a77e-4e7e-9f76-90a2df2b4333,Competitor Ready Condition,8.2,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,95126a72-38bc-4984-bfa9-fa7a71bf500e,Range Communication,8.3,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,d70b787a-28de-4161-88aa-efd75678bf5c,Loading~ Reloading or Unloading During a Course of Fire,8.4,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,647eaa51-179c-413c-b956-be8c3bd2b5ba,Movement,8.5,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,203026f4-42dc-4a55-a758-513c6c7b4cd3,Assistance or Interference,8.6,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,72dd75c3-447c-4bcc-bfac-85f80bd1896b,Sight Pictures~ Dry Firing and Course Inspection,8.7,,23e95a68-5b32-41d2-b814-52a482fa0129,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,d9aeed76-57f4-4bc7-8564-9db45377a53f,General Regulations,9.1,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,1800e36d-f55d-4ed8-a00b-a8bfe954ac0c,Scoring Method,9.2,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,8d127ac2-b2fa-4c5d-a1e8-c6adfeec9aab,Scoring Ties,9.3,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,60bfa234-754e-4f58-86e4-654af5888e82,Target Scoring and Penalty Values,9.4,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,d53e2a32-1732-47f7-894e-95bf515566de,Target Scoring Policy,9.5,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,7b98afb3-25b7-4e37-9ab9-bf577db788c3,Score Verification and Challenge,9.6,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,90150b1a-e8f4-4ea5-994b-b4bedf59ff4f,Score Sheets,9.7,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,f6efb697-4e37-407a-ba9e-dbd0b3ddb179,Scoring Responsibility,9.8,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,45b99c3c-c2b9-48a1-9cbd-ec21ccc31a61,Scoring of Disappearing Targets,9.9,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,3d20f310-26e8-4904-9576-31afca75b4de,Official Time,9.10,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,7c4cb288-3be7-4399-a315-40b100842102,Scoring Programs,9.11,,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,fb8e3788-b72d-4bd0-b45a-0d471b27ad11,Procedural Penalties � General Regulations,10.1,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,e7ccc538-1141-46df-a240-ed81a0f05886,Procedural Penalties � Specific Examples,10.2,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
