DISCIPLINE,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367,Action Air
CHAPTER,a4ce27e1-b12c-489b-a590-84c51e8c7aba,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,0539d541-32c9-4d81-bf3f-a4b48b6a37a3,Range Communication,8.3,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,48d6e7c2-98b3-4105-9ded-f194a9a4f7ac,Loading~ Reloading or Unloading During a Course of Fire,8.4,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,5afd8ea0-5b16-4161-87dd-810efff0b701,Movement,8.5,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,7f47c61f-c62a-4952-bd5a-b5283d90ca43,Assistance or Interference,8.6,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,2b37c9c6-da58-483c-bd8f-8be560f0455a,Sight Pictures~ Dry Firing and Course Inspection,8.7,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,81507ed3-584a-4c13-a033-269cd9d29d0d,General Regulations,9.1,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,03774a9b-860a-4600-9a6b-35f15b88b571,Scoring Method,9.2,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,2c3b24a7-b72d-4bb9-88e4-8ce064198883,Scoring Ties,9.3,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,0ffb20e0-3828-4d60-b420-c62aec6585aa,Target Scoring and Penalty Values,9.4,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,ffe2a0a2-f326-4563-8326-efe49735cc1c,Target Scoring Policy,9.5,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,8979f5da-c753-4cc2-8b5f-952305eba69b,Score Verification and Challenge,9.6,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,df41f691-471b-4677-8db9-9be130bcd9d4,Score Sheets,9.7,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,fb5fbcd0-e1f8-43c5-98ea-f22dd5d69f1d,Scoring Responsibility,9.8,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,7cda80ca-d44f-4e87-8dcb-55fb8f79e7de,Scoring of Disappearing Targets,9.9,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,cad726fa-2884-48b1-86c3-521558501ad2,Official Time,9.10,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,a6f9e016-dd0f-4a25-9fc4-7329de474645,Scoring Programs,9.11,,8ce40c2f-1c35-4fad-a937-f6588349e242,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,69c06c9a-ae61-4b5f-9de2-58b4ef9a548b,Procedural Penalties � General Regulations,10.1,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,4b8c068f-c30a-4630-919d-4d78a7ecce91,Procedural Penalties � Specific Examples,10.2,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
