DISCIPLINE,0eb70609-642f-48f7-86e5-21b08cb298f6,MiniRifle
CHAPTER,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,f7a5b0d1-9fd5-4cda-8d98-0d2a2023c437,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,ebb31238-ecbf-484d-8a8b-8645c8ab3935,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,14ba244a-232a-4e73-91b1-c1f8dfe66270,Discipline of Match Officials,7.2,,ebb31238-ecbf-484d-8a8b-8645c8ab3935,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,14c39ec3-287b-43ac-aea5-70d772284587,Appointment of Officials,7.3,,ebb31238-ecbf-484d-8a8b-8645c8ab3935,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,a6c071c8-eb36-41dd-bf88-23c7b95124fd,Rifle Ready Conditions,8.1,The ready condition for rifles will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the rifle. ,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,3b2bc3ab-62b7-496e-ba62-ddb4c7b94222,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,eeafef5e-b20f-4f11-8d38-79e92cfdb4d7,Range Communication,8.3,The approved range commands and their sequence are as follows: ,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,812c4920-1739-489d-a76c-826e5f852034,Loading~ Reloading or Unloading During a Course of Fire,8.4,,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,0ad732d4-569e-4c0e-93f0-dc314b061bdd,Movement,8.5,,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,48cce832-df52-4779-bb08-9fbf3a201875,Assistance or Interference,8.6,,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,6cbf8d9c-5d0a-4b78-8e14-91ab1b3ab620,Sight Pictures~ Dry Firing and Course Inspection,8.7,,36c09f80-b1a3-4e2c-98e9-baeb820294d8,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,e1e5b169-95fe-44ad-95c5-1435297eb622,General Regulations,9.1,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,65854647-609f-4387-8806-badcfe7801a8,Scoring Method,9.2,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,242c220d-5aac-46a8-a96a-8a78dac3456f,Scoring Ties,9.3,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,66939a46-2678-4e57-b603-c7bdd9c57bfd,Target Scoring and Penalty Values,9.4,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,b2af9244-ed10-4032-9700-08064226b7a8,Target Scoring Policy,9.5,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,12f74d58-55ff-4cd2-9082-d3f619210472,Score Verification and Challenge,9.6,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,5a2cd71a-ee5e-4f76-a121-a8b3aa09ad82,Score Sheets,9.7,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,880cfa05-39b2-4ba6-b955-5cf93f189729,Scoring Responsibility,9.8,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,c58d5b85-695e-4e5b-aeca-5619c64854b1,Scoring of Disappearing Targets,9.9,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,5728db35-d4de-4750-913d-e575733ac191,Official Time,9.10,,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
